RSSI,IOT,MCS,CQI,RSRP,RSRQ,BW_Utilization (%),RB_Allocation,UE_Status,QoS_Class,Beamforming,Traffic_Load (kbps),Latency (ms),Backhaul_Status,Mobility,Frequency_Layer,Network_Slice,Handover_Metrics (ms),Retransmission_Rate (%),NFV_Status,Physical_Cell_ID,Active_Features,Energy_Consumption (Watts),UE_Demand (kbps),Current_Resource_Allocation (%),Channel_Conditions
-117,-85,18,6,-97,-4,100,7,connected,8,23,3985,20,0,high-speed,sub-6 GHz,4,59,1.668499055,1,262,MIMO,193,12218,58.12106856,3
-118,-42,19,6,-101,-15,50.6864859,253,connected,1,11,13735,88,1,stationary,sub-6 GHz,4,4,15.17740837,0,391,MIMO,285,6720,59.89683758,10
-120,-15,6,1,-98,-18,37.4005846,66,connected,9,6,4970,67,0,stationary,millimeter wave,4,435,8.029249067,1,160,None,361,14162,52.59507858,8
-111,-52,5,4,-74,-5,80.48702396,124,handover,4,50,12298,91,1,stationary,millimeter wave,1,194,12.78429123,0,8,MIMO,224,11233,54.70508653,6
-73,-66,9,10,-133,-7,100,96,idle,4,54,15156,37,1,high-speed,sub-6 GHz,4,247,11.39659781,1,373,carrier aggregation,34,9974,41.93692297,6
-71,-75,0,8,-111,-14,82.39718961,86,connected,8,53,9024,91,0,high-speed,millimeter wave,0,189,4.897224139,1,72,carrier aggregation,469,8726,16.81142308,4
-104,-8,0,4,-106,-20,0.447607352,199,connected,9,58,4895,86,1,stationary,sub-6 GHz,1,43,8.881128814,1,104,carrier aggregation,457,13095,37.17030184,5
-88,-59,30,4,-115,-14,44.36587021,18,connected,2,18,11234,101,0,high-speed,millimeter wave,3,385,13.6178711,0,440,carrier aggregation,262,9911,7.953633404,8
-94,-93,12,11,-101,-11,88.81188744,259,idle,3,24,5469,47,0,stationary,sub-6 GHz,0,251,22.55133849,1,8,MIMO,310,13384,93.66959154,4
-118,-94,15,15,-118,-19,49.99621099,202,connected,5,57,8365,102,0,high-speed,sub-6 GHz,4,265,1.259005351,1,183,carrier aggregation,68,6773,34.79520059,7
-109,-94,17,5,-117,-16,89.62888178,229,connected,3,7,3981,67,1,stationary,millimeter wave,4,52,3.976881853,0,100,MIMO,136,7926,59.10817555,5
-92,-100,31,6,-110,-9,97.57600734,204,connected,0,59,7146,44,1,high-speed,millimeter wave,4,103,5.130647491,0,65,None,107,6707,90.54211095,7
-102,-73,24,1,-79,-4,42.34464948,227,connected,9,0,5760,105,0,stationary,millimeter wave,2,337,4.259787253,1,34,carrier aggregation,354,7001,65.99541416,7
-104,-73,9,5,-86,-11,88.85810233,77,connected,1,54,7052,44,0,high-speed,sub-6 GHz,1,340,13.22405453,1,114,MIMO,130,9177,56.7101885,4
-83,-42,31,8,-91,-15,94.72792972,23,connected,5,59,5869,36,0,high-speed,millimeter wave,1,102,12.62874822,0,199,None,304,4806,71.79889534,10
-98,-82,6,13,-104,-15,15.85659243,66,handover,4,2,6319,119,1,stationary,millimeter wave,4,167,7.387663295,0,123,carrier aggregation,185,8610,20.60590635,10
-78,-21,1,6,-75,-4,41.02379989,99,connected,8,47,10620,39,1,high-speed,sub-6 GHz,0,488,20.37786795,1,86,carrier aggregation,50,9136,36.73011289,10
-83,-93,19,13,-73,-9,38.97906039,186,connected,0,40,10860,110,0,high-speed,sub-6 GHz,4,7,11.60099375,1,269,MIMO,297,2863,17.56183894,9
-77,-92,27,11,-78,-7,40.87109387,194,connected,7,61,14086,112,0,high-speed,sub-6 GHz,0,450,8.355054631,1,199,None,436,2736,15.78871725,3
-85,-60,11,6,-100,-8,24.19893287,76,connected,5,35,12595,53,1,high-speed,millimeter wave,2,279,13.4994176,1,419,MIMO,49,13309,94.42349558,9
-80,-48,17,1,-92,-17,56.91334142,99,connected,5,33,2938,102,0,high-speed,sub-6 GHz,1,83,17.30157606,1,14,None,192,3952,4.485714913,1
-83,-66,11,15,-79,-5,66.07742732,105,connected,2,52,8470,99,1,stationary,sub-6 GHz,1,379,3.961056153,1,105,MIMO,166,6804,11.98026932,10
-88,-81,18,11,-76,-17,20.24805737,261,idle,8,54,5753,99,1,high-speed,millimeter wave,2,32,10.08865431,1,93,None,338,11073,22.47547955,3
-78,-41,30,2,-105,-17,10.66663748,174,connected,7,16,4796,78,1,stationary,millimeter wave,4,347,4.601602509,1,337,carrier aggregation,359,9382,2.029559275,10
-103,-76,26,15,-72,-19,94.2483165,269,handover,6,39,9551,95,1,stationary,sub-6 GHz,2,406,9.400735018,0,108,carrier aggregation,437,5281,13.33507169,8
-81,-78,13,3,-106,-20,54.31770771,245,connected,9,59,7215,109,1,high-speed,millimeter wave,2,175,4.878721326,1,77,MIMO,257,11058,4.940107043,1
-79,-88,18,1,-89,-13,66.72236835,47,connected,4,51,13419,44,0,stationary,sub-6 GHz,1,369,13.39181412,0,37,MIMO,130,11744,52.4095746,2
-87,-87,10,3,-110,-9,91.03136348,232,idle,1,49,12664,63,1,high-speed,sub-6 GHz,1,104,8.056505119,1,283,MIMO,365,4323,36.74235279,0
-97,-50,12,9,-118,-15,86.46818579,241,connected,0,21,7715,104,0,stationary,millimeter wave,1,178,9.007817104,0,63,MIMO,56,8344,73.16037365,10
-85,-88,7,15,-123,-20,49.74126174,248,connected,5,25,5910,57,0,stationary,millimeter wave,3,479,11.01604345,0,253,MIMO,272,13363,42.66956659,9
